County,WeekStartDate,Deaths,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Asotin County,2020-03-15,1,0,0,0,1,0,0,2020/07/12 15:04:56
Asotin County,2020-04-05,1,0,0,0,0,1,0,2020/07/12 15:04:56
Benton County,2020-03-01,3,0,0,0,1,2,0,2020/07/12 15:04:56
Benton County,2020-03-08,4,0,0,0,3,1,0,2020/07/12 15:04:56
Benton County,2020-03-15,8,0,0,0,5,3,0,2020/07/12 15:04:56
Benton County,2020-03-22,19,0,0,0,5,14,0,2020/07/12 15:04:56
Benton County,2020-03-29,9,0,0,1,5,3,0,2020/07/12 15:04:56
Benton County,2020-04-05,2,0,0,0,0,2,0,2020/07/12 15:04:56
Benton County,2020-04-12,2,0,0,0,0,2,0,2020/07/12 15:04:56
Benton County,2020-04-19,15,0,0,0,8,7,0,2020/07/12 15:04:56
Benton County,2020-04-26,7,0,0,0,4,3,0,2020/07/12 15:04:56
Benton County,2020-05-03,2,0,0,0,2,0,0,2020/07/12 15:04:56
Benton County,2020-05-10,2,0,0,1,0,1,0,2020/07/12 15:04:56
Benton County,2020-05-17,3,0,0,0,0,3,0,2020/07/12 15:04:56
Benton County,2020-05-24,2,0,0,0,1,1,0,2020/07/12 15:04:56
Benton County,2020-05-31,2,0,0,0,1,1,0,2020/07/12 15:04:56
Benton County,2020-06-14,6,0,0,0,1,5,0,2020/07/12 15:04:56
Benton County,2020-06-21,4,0,0,1,0,3,0,2020/07/12 15:04:56
Benton County,2020-06-28,4,0,0,0,3,1,0,2020/07/12 15:04:56
Chelan County,2020-03-08,1,0,0,0,0,1,0,2020/07/12 15:04:56
Chelan County,2020-03-15,2,0,0,0,0,2,0,2020/07/12 15:04:56
Chelan County,2020-03-22,1,0,0,0,0,1,0,2020/07/12 15:04:56
Chelan County,2020-03-29,1,0,0,0,0,1,0,2020/07/12 15:04:56
Chelan County,2020-04-26,1,0,0,1,0,0,0,2020/07/12 15:04:56
Chelan County,2020-06-28,1,0,0,0,0,1,0,2020/07/12 15:04:56
Clark County,2020-02-23,2,0,0,0,1,1,0,2020/07/12 15:04:56
Clark County,2020-03-01,2,0,0,0,0,2,0,2020/07/12 15:04:56
Clark County,2020-03-08,1,0,0,0,1,0,0,2020/07/12 15:04:56
Clark County,2020-03-15,2,0,0,0,0,2,0,2020/07/12 15:04:56
Clark County,2020-03-22,7,0,0,1,5,1,0,2020/07/12 15:04:56
Clark County,2020-03-29,1,0,0,0,0,1,0,2020/07/12 15:04:56
Clark County,2020-04-05,3,0,0,0,0,3,0,2020/07/12 15:04:56
Clark County,2020-04-12,5,0,0,0,1,4,0,2020/07/12 15:04:56
Clark County,2020-04-19,4,0,0,0,0,4,0,2020/07/12 15:04:56
Clark County,2020-05-17,1,0,1,0,0,0,0,2020/07/12 15:04:56
Clark County,2020-05-24,1,0,0,0,0,1,0,2020/07/12 15:04:56
Clark County,2020-06-07,1,0,0,0,0,1,0,2020/07/12 15:04:56
Clark County,2020-06-21,1,0,0,1,0,0,0,2020/07/12 15:04:56
Clark County,2020-07-05,1,0,0,0,0,1,0,2020/07/12 15:04:56
Douglas County,2020-03-08,1,0,0,0,0,1,0,2020/07/12 15:04:56
Douglas County,2020-04-19,1,0,0,0,1,0,0,2020/07/12 15:04:56
Douglas County,2020-04-26,1,0,0,0,1,0,0,2020/07/12 15:04:56
Franklin County,2020-03-22,3,0,0,0,3,0,0,2020/07/12 15:04:56
Franklin County,2020-03-29,2,0,0,1,0,1,0,2020/07/12 15:04:56
Franklin County,2020-04-05,2,0,0,1,1,0,0,2020/07/12 15:04:56
Franklin County,2020-04-12,5,0,0,0,1,4,0,2020/07/12 15:04:56
Franklin County,2020-04-19,6,0,0,1,3,2,0,2020/07/12 15:04:56
Franklin County,2020-04-26,3,0,0,0,2,1,0,2020/07/12 15:04:56
Franklin County,2020-05-03,3,0,0,1,1,1,0,2020/07/12 15:04:56
Franklin County,2020-05-10,2,0,0,0,1,1,0,2020/07/12 15:04:56
Franklin County,2020-05-17,1,0,0,0,1,0,0,2020/07/12 15:04:56
Franklin County,2020-05-31,3,0,0,0,3,0,0,2020/07/12 15:04:56
Franklin County,2020-06-07,4,0,0,1,3,0,0,2020/07/12 15:04:56
Franklin County,2020-06-21,1,0,0,1,0,0,0,2020/07/12 15:04:56
Franklin County,2020-06-28,1,0,0,0,1,0,0,2020/07/12 15:04:56
Grant County,2020-02-23,1,0,0,0,0,1,0,2020/07/12 15:04:56
Grant County,2020-03-15,1,0,0,0,1,0,0,2020/07/12 15:04:56
Grant County,2020-04-12,1,0,0,1,0,0,0,2020/07/12 15:04:56
Grant County,2020-05-03,1,0,0,1,0,0,0,2020/07/12 15:04:56
Grant County,2020-05-24,1,0,0,0,0,1,0,2020/07/12 15:04:56
Grant County,2020-06-07,1,0,0,0,1,0,0,2020/07/12 15:04:56
Grant County,2020-06-14,1,0,0,0,0,1,0,2020/07/12 15:04:56
Grant County,2020-06-21,1,0,0,1,0,0,0,2020/07/12 15:04:56
